"vendorid","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","ratecodeid","store_and_fwd_flag","pulocationid","dolocationid","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge"
,"2020-12-01 00:04:00","2020-12-01 00:07:00",,"0.51",,"","215","215",,"56.29","0.0","0.5","2.75","0.0","0.3","59.84","0.0"
,"2020-12-01 00:24:00","2020-12-01 00:44:00",,"5.51",,"","140","116",,"21.9","0.0","0.5","4.88","0.0","0.3","30.08","2.5"
,"2020-12-01 00:46:00","2020-12-01 01:02:00",,"8.07",,"","236","70",,"33.58","0.0","0.5","0.0","6.12","0.3","43.0","2.5"
,"2020-12-01 00:06:00","2020-12-01 00:27:00",,"3.83",,"","192","70",,"24.7","0.0","0.5","0.0","0.0","0.3","25.5","0.0"
,"2020-12-01 00:27:13","2020-12-01 00:41:18",,"8.53",,"","57","198",,"22.67","0.0","0.5","2.75","0.0","0.3","26.22","0.0"
,"2020-12-01 00:01:00","2020-12-01 00:08:00",,"1.4",,"","42","41",,"9.51","0.0","0.5","0.0","0.0","0.3","10.31","0.0"
,"2020-12-01 00:14:00","2020-12-01 00:43:00",,"9.84",,"","239","49",,"28.85","0.0","0.5","4.21","0.0","0.3","36.36","2.5"
,"2020-12-01 00:07:00","2020-12-01 00:21:00",,"3.03",,"","136","243",,"18.45","0.0","0.5","2.75","0.0","0.3","22.0","0.0"
,"2020-12-01 00:09:00","2020-12-01 00:20:00",,"3.52",,"","168","212",,"21.95","0.0","0.5","2.75","0.0","0.3","25.5","0.0"
,"2020-12-01 00:08:00","2020-12-01 00:24:00",,"4.74",,"","255","146",,"15.05","0.0","0.5","3.58","0.0","0.3","19.43","0.0"
,"2020-12-01 00:47:00","2020-12-01 00:58:00",,"2.6",,"","198","63",,"8.6","0.0","0.5","5.0","0.0","0.3","14.4","0.0"
,"2020-12-01 00:24:53","2020-12-01 00:35:40",,"3.49",,"","90","232",,"21.95","0.0","0.5","2.75","0.0","0.3","25.5","0.0"
,"2020-12-01 00:28:27","2020-12-01 00:31:01",,"0.7",,"","186","234",,"4.5","0.5","0.5","1.25","0.0","0.3","9.55","2.5"
,"2020-12-01 00:16:00","2020-12-01 00:41:00",,"14.79",,"","226","219",,"44.62","0.0","0.5","2.75","0.0","0.3","48.17","0.0"
,"2020-12-01 00:12:10","2020-12-01 00:31:20",,"8.99",,"","140","213",,"19.03","0.0","0.5","2.75","12.24","0.3","34.82","0.0"
,"2020-12-01 00:08:37","2020-12-01 00:36:29",,"9.79",,"","61","137",,"27.65","0.0","0.5","0.0","0.0","0.3","30.95","2.5"
,"2020-12-01 00:07:28","2020-12-01 00:23:35",,"8.09",,"","137","69",,"32.04","0.0","0.5","2.75","0.0","0.3","35.59","0.0"
,"2020-12-01 00:02:49","2020-12-01 00:34:29",,"9.69",,"","230","61",,"34.35","0.0","0.5","2.75","0.0","0.3","37.9","0.0"
,"2020-12-01 00:52:23","2020-12-01 01:09:10",,"4.6",,"","71","225",,"20.7","0.0","0.5","0.0","0.0","0.3","21.5","0.0"
,"2020-12-01 00:08:00","2020-12-01 00:25:00",,"4.55",,"","242","18",,"20.3","0.0","0.5","2.75","0.0","0.3","23.85","0.0"
,"2020-12-01 01:12:02","2020-12-01 01:12:03",,"4.69",,"","265","37",,"15.34","1.34","0.5","0.0","0.0","0.3","19.98","2.5"
,"2020-12-01 01:36:00","2020-12-01 01:54:00",,"4.64",,"","225","45",,"28.95","0.0","0.5","2.75","0.0","0.3","32.5","0.0"
,"2020-12-01 01:22:19","2020-12-01 01:35:28",,"0.0",,"","65","4",,"13.2","0.5","0.5","0.0","0.0","0.3","17.0","2.5"
,"2020-12-01 01:09:00","2020-12-01 01:23:00",,"5.09",,"","68","41",,"25.45","0.0","0.5","2.75","0.0","0.3","29.0","0.0"
,"2020-12-01 01:30:00","2020-12-01 01:59:00",,"20.82",,"","219","228",,"79.95","0.0","0.5","2.75","0.0","0.3","83.5","0.0"
,"2020-12-01 01:09:00","2020-12-01 01:39:00",,"12.84",,"","230","133",,"32.98","0.0","0.5","8.49","0.0","0.3","44.77","2.5"
,"2020-12-01 01:05:00","2020-12-01 01:12:00",,"1.78",,"","238","142",,"7.0","0.0","0.5","3.21","0.0","0.3","13.51","2.5"
,"2020-12-01 01:13:01","2020-12-01 01:33:08",,"0.0",,"","209","148",,"4.2","0.5","0.5","10.0","0.0","0.3","18.0","2.5"
,"2020-12-01 01:14:00","2020-12-01 01:50:00",,"22.77",,"","124","249",,"48.14","0.0","0.5","11.33","0.0","0.3","62.77","2.5"
,"2020-12-01 01:22:00","2020-12-01 01:28:00",,"1.74",,"","230","140",,"7.76","0.0","0.5","2.84","0.0","0.3","13.9","2.5"
,"2020-12-01 01:43:00","2020-12-01 01:52:00",,"1.5",,"","107","68",,"7.0","0.0","0.5","2.1","0.0","0.3","12.4","2.5"
,"2020-12-01 01:59:00","2020-12-01 02:39:00",,"32.2",,"","180","1",,"69.21","0.0","0.5","2.0","23.99","0.3","96.0","0.0"
,"2020-12-01 02:37:56","2020-12-01 02:58:35",,"12.8",,"","131","145",,"51.05","0.0","0.5","2.75","0.0","0.3","54.6","0.0"
,"2020-12-01 02:52:00","2020-12-01 03:03:00",,"3.45",,"","262","137",,"11.31","0.0","0.5","3.1","0.0","0.3","17.71","2.5"
,"2020-12-01 03:51:22","2020-12-01 04:19:16",,"17.84",,"","42","77",,"43.82","0.0","0.5","2.75","6.12","0.3","53.49","0.0"
,"2020-12-01 03:38:00","2020-12-01 04:07:00",,"20.68",,"","219","75",,"41.88","0.0","0.5","2.75","12.24","0.3","57.67","0.0"
,"2020-12-01 03:57:00","2020-12-01 04:17:00",,"9.78",,"","31","140",,"28.23","0.0","0.5","2.75","6.12","0.3","37.9","0.0"
,"2020-12-01 03:55:51","2020-12-01 04:06:18",,"2.95",,"","37","148",,"10.26","0.0","0.5","0.0","0.0","0.3","13.56","2.5"
,"2020-12-01 03:43:00","2020-12-01 04:07:00",,"16.53",,"","182","76",,"48.46","0.0","0.5","2.75","6.12","0.3","58.13","0.0"
,"2020-12-01 03:55:00","2020-12-01 04:12:00",,"7.46",,"","186","194",,"32.64","0.0","0.5","2.75","6.12","0.3","42.31","0.0"
,"2020-12-01 03:58:18","2020-12-01 04:29:32",,"20.46",,"","76","107",,"29.53","0.0","0.5","2.75","6.12","0.3","39.2","0.0"
,"2020-12-01 04:30:03","2020-12-01 04:42:12",,"2.69",,"","20","47",,"20.76","0.0","0.5","2.75","0.0","0.3","24.31","0.0"
,"2020-12-01 04:04:57","2020-12-01 04:10:05",,"0.75",,"","47","47",,"14.05","0.0","0.5","2.75","0.0","0.3","17.6","0.0"
,"2020-12-01 04:28:32","2020-12-01 04:51:53",,"8.32",,"","77","87",,"37.77","0.0","0.5","2.75","0.0","0.3","41.32","0.0"
,"2020-12-01 04:41:00","2020-12-01 05:15:00",,"19.69",,"","205","88",,"51.88","0.0","0.5","2.75","6.12","0.3","61.55","0.0"
,"2020-12-01 04:44:32","2020-12-01 04:51:03",,"1.7",,"","141","161",,"7.5","0.5","0.5","1.13","0.0","0.3","12.43","2.5"
,"2020-12-01 04:44:00","2020-12-01 05:01:00",,"3.74",,"","130","139",,"21.07","0.0","0.5","2.75","0.0","0.3","24.62","0.0"
,"2020-12-01 04:51:00","2020-12-01 05:04:00",,"3.78",,"","10","215",,"18.08","0.0","0.5","2.75","0.0","0.3","21.63","0.0"
,"2020-12-01 04:04:19","2020-12-01 04:10:37",,"1.21",,"","75","41",,"7.22","0.0","0.5","0.41","0.0","0.3","8.43","0.0"
,"2020-12-01 04:09:57","2020-12-01 04:17:39",,"4.32",,"","212","174",,"22.59","0.0","0.5","2.75","0.0","0.3","26.14","0.0"
,"2020-12-01 04:27:35","2020-12-01 04:38:17",,"4.0",,"","18","254",,"19.57","0.0","0.5","2.75","0.0","0.3","23.12","0.0"
,"2020-12-01 04:12:34","2020-12-01 04:26:41",,"3.87",,"","50","148",,"17.0","0.0","0.5","4.54","0.0","0.3","24.84","2.5"
,"2020-12-01 04:19:30","2020-12-01 04:30:42",,"2.21",,"","143","140",,"10.85","0.0","0.5","2.95","0.0","0.3","17.1","2.5"
,"2020-12-01 04:43:00","2020-12-01 04:48:00",,"1.28",,"","151","239",,"7.0","0.0","0.5","1.58","0.0","0.3","11.88","2.5"
,"2020-12-01 04:26:00","2020-12-01 04:45:00",,"5.15",,"","49","107",,"27.76","0.0","0.5","2.75","0.0","0.3","31.31","0.0"
,"2020-12-01 04:48:45","2020-12-01 04:58:14",,"3.57",,"","89","106",,"21.14","0.0","0.5","2.75","0.0","0.3","24.69","0.0"
,"2020-12-01 04:40:29","2020-12-01 04:47:48",,"3.02",,"","56","102",,"22.67","0.0","0.5","2.75","0.0","0.3","26.22","0.0"
,"2020-12-01 04:19:00","2020-12-01 04:48:00",,"18.81",,"","63","140",,"34.47","0.0","0.5","2.75","6.12","0.3","44.14","0.0"
,"2020-12-01 04:27:00","2020-12-01 04:42:00",,"5.09",,"","169","185",,"32.93","0.0","0.5","2.75","0.0","0.3","36.48","0.0"
,"2020-12-01 04:15:00","2020-12-01 04:19:00",,"0.84",,"","233","137",,"7.0","0.0","0.5","0.53","0.0","0.3","10.83","2.5"
,"2020-12-01 04:17:00","2020-12-01 04:33:00",,"5.29",,"","68","74",,"24.52","0.0","0.5","5.0","0.0","0.3","32.82","2.5"
,"2020-12-01 04:49:00","2020-12-01 04:58:00",,"1.68",,"","68","249",,"14.09","0.0","0.5","2.75","0.0","0.3","17.64","0.0"
,"2020-12-01 04:04:00","2020-12-01 04:25:00",,"7.52",,"","17","170",,"33.56","0.0","0.5","2.75","0.0","0.3","37.11","0.0"
,"2020-12-01 04:41:30","2020-12-01 04:50:31",,"2.3",,"","61","106",,"28.65","0.0","0.5","2.75","0.0","0.3","32.2","0.0"
,"2020-12-01 04:13:47","2020-12-01 04:28:06",,"6.1",,"","232","226",,"28.72","0.0","0.5","2.75","0.0","0.3","32.27","0.0"
,"2020-12-01 04:36:45","2020-12-01 05:03:36",,"12.43",,"","63","137",,"29.53","0.0","0.5","2.75","6.12","0.3","39.2","0.0"
,"2020-12-01 04:58:10","2020-12-01 05:08:13",,"4.51",,"","56","260",,"20.95","0.0","0.5","2.75","0.0","0.3","24.5","0.0"
,"2020-12-01 04:12:22","2020-12-01 04:24:52",,"6.08",,"","76","155",,"23.29","0.0","0.5","2.75","0.0","0.3","26.84","0.0"
,"2020-12-01 04:38:12","2020-12-01 04:59:34",,"4.34",,"","39","123",,"32.46","0.0","0.5","2.75","0.0","0.3","36.01","0.0"
,"2020-12-01 04:51:04","2020-12-01 05:13:02",,"9.01",,"","62","137",,"28.26","0.0","0.0","2.75","0.0","0.3","31.31","0.0"
,"2020-12-01 04:58:20","2020-12-01 05:08:30",,"2.56",,"","152","244",,"20.85","0.0","0.5","2.75","0.0","0.3","24.4","0.0"
,"2020-12-01 04:38:20","2020-12-01 04:43:43",,"0.72",,"","74","74",,"30.15","0.0","0.5","2.75","0.0","0.3","33.7","0.0"
,"2020-12-01 04:56:00","2020-12-01 05:11:00",,"6.02",,"","47","41",,"24.31","0.0","0.5","2.75","0.0","0.3","27.86","0.0"
,"2020-12-01 04:29:00","2020-12-01 04:44:00",,"2.98",,"","209","90",,"15.34","0.0","0.5","4.15","0.0","0.3","22.79","2.5"
,"2020-12-01 04:13:00","2020-12-01 04:24:00",,"3.15",,"","196","93",,"18.56","0.0","0.5","2.75","0.0","0.3","22.11","0.0"
,"2020-12-01 04:02:35","2020-12-01 04:28:34",,"7.33",,"","97","76",,"22.81","0.0","0.5","2.75","0.0","0.3","26.36","0.0"
,"2020-12-01 04:58:49","2020-12-01 05:17:34",,"8.25",,"","76","117",,"36.0","0.0","0.5","2.75","2.29","0.3","41.84","0.0"
,"2020-12-01 04:31:04","2020-12-01 04:43:29",,"2.5",,"","215","98",,"30.54","0.0","0.5","2.75","0.0","0.3","34.09","0.0"
,"2020-12-01 04:12:48","2020-12-01 05:12:03",,"5.88",,"","265","136",,"16.66","0.0","0.5","0.0","0.0","0.3","17.46","0.0"
,"2020-12-01 04:58:46","2020-12-01 05:22:38",,"4.59",,"","167","41",,"19.84","0.0","0.5","2.75","0.0","0.3","23.39","0.0"
,"2020-12-01 04:28:00","2020-12-01 04:51:00",,"6.12",,"","61","123",,"31.4","0.0","0.5","2.75","0.0","0.3","34.95","0.0"
,"2020-12-01 04:40:00","2020-12-01 05:00:00",,"9.67",,"","69","242",,"26.77","0.0","0.5","2.75","0.0","0.3","30.32","0.0"
,"2020-12-01 04:26:00","2020-12-01 04:40:00",,"7.42",,"","215","9",,"30.54","0.0","0.5","2.75","0.0","0.3","34.09","0.0"
,"2020-12-01 04:58:00","2020-12-01 05:05:00",,"2.08",,"","10","205",,"18.08","0.0","0.5","2.75","0.0","0.3","21.63","0.0"
,"2020-12-01 04:53:00","2020-12-01 05:06:00",,"6.56",,"","28","171",,"22.33","0.0","0.5","2.75","0.0","0.3","25.88","0.0"
,"2020-12-01 04:33:00","2020-12-01 05:03:00",,"16.84",,"","219","140",,"54.03","0.0","0.5","2.75","0.0","0.3","57.58","0.0"
,"2020-12-01 04:52:00","2020-12-01 05:12:28",,"13.23",,"","147","65",,"40.68","0.0","0.5","2.75","6.12","0.3","50.35","0.0"
,"2020-12-01 04:59:51","2020-12-01 05:35:26",,"21.7",,"","222","174",,"64.19","0.0","0.5","2.75","6.12","0.3","73.86","0.0"
,"2020-12-01 04:34:34","2020-12-01 04:37:01",,"0.63",,"","218","10",,"18.08","0.0","0.5","2.75","0.0","0.3","21.63","0.0"
,"2020-12-01 04:11:37","2020-12-01 04:14:26",,"0.43",,"","218","10",,"18.08","0.0","0.5","2.75","0.0","0.3","21.63","0.0"
,"2020-12-01 04:04:09","2020-12-01 04:39:56",,"14.33",,"","35","236",,"34.12","0.0","0.5","2.75","0.0","0.3","37.67","0.0"
,"2020-12-01 05:01:22","2020-12-01 05:06:54",,"2.24",,"","235","241",,"21.27","0.0","0.5","2.75","0.0","0.3","24.82","0.0"
,"2020-12-01 05:09:01","2020-12-01 05:24:54",,"3.06",,"","66","37",,"20.43","0.0","0.5","2.75","0.0","0.3","23.98","0.0"
,"2020-12-01 05:50:47","2020-12-01 06:10:33",,"8.72",,"","76","130",,"30.41","0.0","0.5","2.75","0.0","0.3","33.96","0.0"
,"2020-12-01 05:09:52","2020-12-01 05:13:00",,"0.29",,"","75","75",,"11.45","0.0","0.5","2.75","0.0","0.3","15.0","0.0"
,"2020-12-01 05:33:11","2020-12-01 05:44:14",,"2.6",,"","140","238",,"11.0","0.5","0.5","2.96","0.0","0.3","17.76","2.5"
,"2020-12-01 05:39:00","2020-12-01 06:08:00",,"13.34",,"","124","137",,"34.69","0.0","0.5","2.75","6.12","0.3","44.36","0.0"
,"2020-12-01 05:44:30","2020-12-01 05:53:13",,"2.34",,"","239","161",,"9.67","0.0","0.5","2.69","0.0","0.3","15.66","2.5"
,"2020-12-01 05:40:16","2020-12-01 05:44:36",,"0.0",,"","263","75",,"5.2","0.5","0.5","1.55","0.0","0.3","12.55","2.5"
,"2020-12-01 05:11:00","2020-12-01 05:25:00",,"4.15",,"","205","134",,"32.31","0.0","0.5","2.75","0.0","0.3","35.86","0.0"
